node	N	min	max	mean	sd	distribution	order
Root	686	1100	2200	1100	2200	Uniform	1
Spumellaria	188	509	521	515	3.06	Normal	2
Hexacromyoidea	47	241.5	251.2	246.35	2.47	Normal	3
Rhizosphaeroidea	5	145	152.1	148.55	1.81	Normal	4
Clade-M	9	93.9	100.5	97.2	1.68	Normal	5
Cladococcus	15	61.6	66	64.7	0.675	Normal	6
Lithocyclioidea	7	44.6	49.5	47.05	1.25	Normal	7
Dictyocoryne	3	41.2	47.8	44.5	1.68	Normal	8
Spongopyle	4	33.9	37.8	35.85	0.99	Normal	9
Excentroconchidae	4	22.6	22.7	22.65	0.1	Normal	10
Spongosphaera	3	7.24	11.6	9.42	1.11	Normal	11
Calcaromma	2	0	1	0.5	0.1	Normal	13
Hollandosphaeridae	3	0	1	0.5	0.1	Normal	14
Nassellaria	157	372.2	521	372.2	521	Uniform	15
Plectopyramidoidea	2	182.7	247.2	214.95	16.45	Normal	16
Plagiacanthoidea	24	168.3	251.2	209.75	21.15	Normal	17
Artostrobioidea	5	174.2	200.1	187.15	6.61	Normal	18
Pterocorythoidea	8	61.6	66	65.3	0.375	Normal	19
Acanthodesmioidea	7	61.6	66	63.8	1.12	Normal	20
Lipmanella	2	41.2	47.8	44.5	1.68	Normal	21
Peromelissa	4	37.8	41.2	39.5	0.87	Normal	22
Collosphaeridae	15	26.9	36	31.45	2.32	Normal	23
Sphaerozoidae	26	15.97	20.44	18.5	0.995	Normal	24
Siphonosphaera	2	11.63	18.9	13.82	1.12	Normal	25
